date,ppi,gdp_pct_change,int_3m,cons_conf,unm_rate
1986-02-01,51.4560581227973,1.7895751630928158,12.71875,99.70575,11.1
1986-03-01,51.4560581227973,1.7895751630928158,11.77679,99.74067,11.2
1986-04-01,51.6126993061611,1.2192767096080193,10.5767,99.80801,11.3
1986-05-01,51.3777410999201,1.2192767096080193,10.26705,99.85727,11.3
1986-06-01,51.4560581227973,1.2192767096080193,9.82292,99.89935,11.3
1986-07-01,51.3777410999201,1.7351175065180469,10.03805,99.93089,11.3
1986-08-01,51.4560581227973,1.7351175065180469,9.89435,99.9693,11.3
1986-09-01,51.6910155359706,1.7351175065180469,10.18892,100.0366,11.3
1986-10-01,51.8476567193344,3.3842609542008573,11.1644,100.1799,11.2
1986-11-01,52.0042979026982,3.3842609542008573,11.24609,100.4227,11.2
1986-12-01,52.0826141325077,3.3842609542008573,11.40421,100.7712,11.2
1987-01-01,52.6308539124087,2.0357750541980746,11.10085,101.2396,11.1
1987-02-01,52.7874950957725,2.0357750541980746,10.89219,101.6438,11.0
1987-03-01,52.9441362791364,2.0357750541980746,10.0142,102.0622,10.9
1987-04-01,53.1007774625002,3.049874720660939,9.83097,102.4685,10.8
1987-05-01,53.2574107151869,3.049874720660939,8.86792,102.8076,10.6
1987-06-01,53.2574107151869,3.049874720660939,8.93608,103.009,10.5
1987-07-01,53.4140518985507,4.4192904492397656,9.24796,103.0333,10.3
1987-08-01,53.492376852105,4.4192904492397656,10.0997,102.9027,10.1
1987-09-01,53.649009311724,4.4192904492397656,10.19602,102.6596,10.0
1987-10-01,53.883967517965,2.1208473949606343,10.0277,102.334,9.8
1987-11-01,53.9622916784517,2.1208473949606343,8.998510000000001,101.9896,9.6
1987-12-01,54.1189328618155,2.1208473949606343,7.97283,101.6775,9.4
1988-01-01,54.3538902749888,2.671494049223888,8.88691,101.4349,9.2
1988-02-01,54.5105314583526,2.671494049223888,9.28795,101.2747,9.1
1988-03-01,54.5888484812298,2.671494049223888,8.913039999999999,101.2025,8.9
1988-04-01,54.980447077767,2.5111979772364013,8.374260000000001,101.2092,8.8
1988-05-01,55.2154044909403,2.5111979772364013,8.06676,101.2461,8.7
1988-06-01,55.2937294444946,2.5111979772364013,8.975139999999998,101.2475,8.5
1988-07-01,55.6070030874775,3.0527702554343783,10.57366,101.1955,8.4
1988-08-01,55.6853280410318,3.0527702554343783,11.44429,101.0891,8.3
1988-09-01,55.7636442708413,3.0527702554343783,12.19034,100.9329,8.4
1988-10-01,55.9202854542051,2.960206248535169,12.0439,100.7627,8.0
1988-11-01,55.9986024770823,2.960206248535169,12.31818,100.6308,7.9
1988-12-01,56.1552436604461,2.960206248535169,13.15767,100.5475,7.7
1989-01-01,56.7034834403471,2.520538873828193,13.16122,100.521,7.6
1989-02-01,56.8601246237109,2.520538873828193,13.06406,100.5318,7.5
1989-03-01,57.1733982666937,2.520538873828193,13.0625,100.5523,7.4
1989-04-01,57.4866806334214,1.7756336502425585,13.18359,100.5908,7.2
1989-05-01,57.8782800230262,1.7756336502425585,13.22215,100.6021,7.1
1989-06-01,57.9565962528358,1.7756336502425585,14.182529999999998,100.5538,7.0
