observation_date,GBRPPDMMINMEI
1960-01-01,7.11391969888660
1960-02-01,7.11391969888660
1960-03-01,7.11391969888660
1960-04-01,7.15205911831291
1960-05-01,7.18384685841908
1960-06-01,7.19656528534594
1960-07-01,7.20927578159566
1960-08-01,7.21563459852524
1960-09-01,7.21563459852524
1960-10-01,7.22199420852253
1960-11-01,7.23470470477226
1960-12-01,7.25378194862870
1961-01-01,7.26649244487842
1961-02-01,7.28556175805772
1961-03-01,7.31735029123160
1961-04-01,7.32370910816118
1961-05-01,7.34277921440819
1961-06-01,7.36185645826463
1961-07-01,7.38092656451164
1961-08-01,7.43178361779711
1961-09-01,7.44450204472397
1961-10-01,7.44450204472397
1961-11-01,7.45721254097370
1961-12-01,7.46993096790056
1962-01-01,7.48900107414758
1962-02-01,7.50807038732688
1962-03-01,7.52078881425374
1962-04-01,7.51442920425645
1962-05-01,7.52078881425374
1962-06-01,7.53350724118061
1962-07-01,7.54621773743033
1962-08-01,7.55257655435991
1962-09-01,7.56528705060963
1962-10-01,7.57164666060692
1962-11-01,7.57164666060692
1962-12-01,7.58436508753379
1963-01-01,7.59071597378622
1963-02-01,7.59071597378622
1963-03-01,7.59071597378622
1963-04-01,7.59071597378622
1963-05-01,7.64910717035318
1963-06-01,7.59071597378622
1963-07-01,7.59071597378622
1963-08-01,7.59071597378622
1963-09-01,7.64910717035318
1963-10-01,7.64910717035318
1963-11-01,7.64910717035318
1963-12-01,7.70749757385241
1964-01-01,7.76588877041937
1964-02-01,7.76588877041937
1964-03-01,7.76588877041937
1964-04-01,7.76588877041937
1964-05-01,7.88267037048556
1964-06-01,7.88267037048556
1964-07-01,7.88267037048556
1964-08-01,7.88267037048556
1964-09-01,7.88267037048556
1964-10-01,7.88267037048556
1964-11-01,7.94106156705251
1964-12-01,7.99945197055175
1965-01-01,7.99945197055175
1965-02-01,8.05784316711870
1965-03-01,8.05784316711870
1965-04-01,8.11623357061794
1965-05-01,8.17462476718490
1965-06-01,8.17462476718490
1965-07-01,8.17462476718490
1965-08-01,8.17462476718490
1965-09-01,8.17462476718490
1965-10-01,8.17462476718490
1965-11-01,8.23301596375185
1965-12-01,8.23301596375185
1966-01-01,8.29139843657395
1966-02-01,8.29139843657395
1966-03-01,8.29139843657395
1966-04-01,8.34978884007319
1966-05-01,8.34978884007319
1966-06-01,8.34978884007319
1966-07-01,8.40818003664014
1966-08-01,8.40818003664014
1966-09-01,8.40818003664014
1966-10-01,8.40818003664014
1966-11-01,8.40818003664014
1966-12-01,8.40818003664014
1967-01-01,8.40818003664014
1967-02-01,8.40818003664014
1967-03-01,8.40818003664014
1967-04-01,8.40818003664014
1967-05-01,8.40818003664014
1967-06-01,8.40818003664014
1967-07-01,8.46657123320709
1967-08-01,8.46657123320709
1967-09-01,8.46657123320709
1967-10-01,8.52496163670633
1967-11-01,8.52496163670633
1967-12-01,8.52496163670633
1968-01-01,8.58335283327328
1968-02-01,8.64174323677252
1968-03-01,8.70013443333948
1968-04-01,8.75852562990643
1968-05-01,8.75852562990643
1968-06-01,8.75852562990643
1968-07-01,8.81691603340567
1968-08-01,8.81691603340567
1968-09-01,8.81691603340567
1968-10-01,8.81691603340567
1968-11-01,8.87530722997262
1968-12-01,8.93368970279472
1969-01-01,8.99208089936167
1969-02-01,8.99208089936167
1969-03-01,9.05047130286091
1969-04-01,9.05047130286091
1969-05-01,9.05047130286091
1969-06-01,9.10886249942787
1969-07-01,9.10886249942787
1969-08-01,9.10886249942787
1969-09-01,9.16725290292710
1969-10-01,9.22564409949406
1969-11-01,9.22564409949406
1969-12-01,9.28403529606101
1970-01-01,9.40081689612720
1970-02-01,9.45920729962644
1970-03-01,9.51759849619339
1970-04-01,9.57598096901549
1970-05-01,9.69276336214940
1970-06-01,9.69276336214940
1970-07-01,9.80954496221559
1970-08-01,9.86793536571483
1970-09-01,9.92632656228178
1970-10-01,9.98471775884874
1970-11-01,10.10149935891490
1970-12-01,10.15988976241420
1971-01-01,10.33505462837020
1971-02-01,10.39344503186940
1971-03-01,10.45183622843640
1971-04-01,10.51022742500330
1971-05-01,10.62700902506950
1971-06-01,10.68539942856870
1971-07-01,10.74379062513570
1971-08-01,10.74379062513570
1971-09-01,10.80218182170270
1971-10-01,10.80218182170270
1971-11-01,10.80218182170270
1971-12-01,10.86057222520190
1972-01-01,10.91895469802400
1972-02-01,10.97734589459090
1972-03-01,10.97734589459090
1972-04-01,11.03573709115790
1972-05-01,11.09412749465710
1972-06-01,11.15251869122410
1972-07-01,11.21090909472330
1972-08-01,11.26930029129030
1972-09-01,11.38608189135650
1972-10-01,11.44447308792340
1972-11-01,11.56124675731250
1972-12-01,11.56124675731250
1973-01-01,11.61963716081170
1973-02-01,11.67802835737870
1973-03-01,11.73641955394560
1973-04-01,11.61963716081170
1973-05-01,11.73641955394560
1973-06-01,11.85320115401180
1973-07-01,11.96998275407800
1973-08-01,12.14515555071120
1973-09-01,12.26192922010020
1973-10-01,12.49549242023260
1973-11-01,12.61227402029880
1973-12-01,12.72905562036500
1974-01-01,13.07939328295410
1974-02-01,13.54931683304560
1974-03-01,13.94090670583790
1974-04-01,14.25418907256560
1974-05-01,14.41083025592940
1974-06-01,14.64578846217040
1974-07-01,14.80242964553420
1974-08-01,15.03738705870760
1974-09-01,15.19402824207140
1974-10-01,15.50730188505420
1974-11-01,15.82058425178180
1974-12-01,16.13386661850950
1975-01-01,16.68209846773330
1975-02-01,16.83873965109720
1975-03-01,17.23033824763430
1975-04-01,17.54362061436200
1975-05-01,17.93521921089910
1975-06-01,18.09185246358580
1975-07-01,18.32681860050400
1975-08-01,18.32681860050400
1975-09-01,18.56177601367730
1975-10-01,18.71841719704110
1975-11-01,19.11001579357820
1975-12-01,19.42329022962880
1976-01-01,19.73657259635640
1976-02-01,19.89321377972020
1976-03-01,20.04984623933920
1976-04-01,20.28481237625740
1976-05-01,20.51976978943070
1976-06-01,20.75472799567170
1976-07-01,21.06800956933170
1976-08-01,21.38128400538220
1976-09-01,21.61624141855550
1976-10-01,22.00784080816040
1976-11-01,22.55608058806130
1976-12-01,22.71272177142520
1977-01-01,23.49591896449940
1977-02-01,23.73087637767280
1977-03-01,23.96583458391380
1977-04-01,24.51407436381480
1977-05-01,24.82735673054240
1977-06-01,25.14063116659290
1977-07-01,25.45391274025290
1977-08-01,25.61055392361670
1977-09-01,25.76718717630340
1977-10-01,25.92382835966720
1977-11-01,25.92382835966720
1977-12-01,26.08046954303100
1978-01-01,26.39374397908160
1978-02-01,26.55038516244540
1978-03-01,26.70702555274150
1978-04-01,26.86366673610530
1978-05-01,27.02030791946920
1978-06-01,27.25526612571020
1978-07-01,27.41190730907400
1978-08-01,27.56853976869300
1978-09-01,27.72518095205680
1978-10-01,27.88182213542060
1978-11-01,27.96013915829780
1978-12-01,28.11677954859400
1979-01-01,28.50837893819880
1979-02-01,28.74333635137210
1979-03-01,28.97830248829030
1979-04-01,29.36990108482740
1979-05-01,29.83981591117410
1979-06-01,30.30973153058840
1979-07-01,31.01461249385320
1979-08-01,31.32788692990370
1979-09-01,31.64116929663140
1979-10-01,31.87612670980470
1979-11-01,32.11108412297800
1979-12-01,32.42436648970570
1980-01-01,33.28588070565720
1980-02-01,33.91243671536760
1980-03-01,34.38236026545910
