,date,gdp_pct_change,int_3m,cons_conf,unm_rate,ppi_diff,infl_rate_diff
1,2003-06-01,1.2406962547147904,1.04,100.5095,6.3,1.3000000000000114,0.0027310482975639
4,2003-09-01,2.244393634589459,1.08,100.3871,6.1,0.5,-0.0011028939902899002
7,2003-12-01,1.777218661656188,1.1,101.1297,5.7,0.5999999999999943,0.0021618698200634003
10,2004-03-01,1.2844885686098315,1.05,101.1277,5.8,1.0,-4.6000527279001745e-06
13,2004-06-01,1.5881984463050005,1.46,101.0162,5.6,0.39999999999997726,-0.0005494960401125001
16,2004-09-01,1.5891599103924348,1.86,100.9841,5.4,-0.30000000000001137,0.0026424266275213997
19,2004-12-01,1.8033438743137344,2.45,101.0947,5.4,-1.200000000000017,-0.0047169811320753
22,2005-03-01,1.916403759048113,2.97,100.6953,5.2,2.0999999999999943,-0.0005371117062140996
25,2005-06-01,1.2169383532255829,3.38,100.8249,5.0,0.0,0.0010327911868483
28,2005-09-01,1.702328066304637,3.87,99.42278,5.0,4.599999999999994,0.0076114818750132995
31,2005-12-01,1.3814726141060607,4.45,100.1521,4.9,-0.6999999999999886,0.0050226017076845
34,2006-03-01,2.063582935235764,4.88,100.2323,4.7,0.39999999999997726,0.0010027573941089
37,2006-06-01,1.1343641813170935,5.35,99.67864,4.6,0.29999999999998295,-0.0005056816789524
40,2006-09-01,0.848981315489139,5.34,100.1277,4.5,-2.5,-0.009342453946722399
43,2006-12-01,1.2211225976172635,5.32,100.893,4.4,1.0,0.0049502498541087
46,2007-03-01,1.2542487086489862,5.3,100.4308,4.4,2.5,0.0013217708882283003
49,2007-06-01,1.3114489093746018,5.33,100.1562,4.6,0.5,-0.0018162423056667003
52,2007-09-01,1.125080387682842,5.46,99.64957,4.7,1.0999999999999943,0.003929272681912
55,2007-12-01,1.0363896417475926,5.02,98.9023,5.0,-0.4000000000000057,-0.0049608697161578
58,2008-03-01,-0.0578998737211899,2.79,97.88428,5.1,5.200000000000017,0.0011602009281790997
61,2008-06-01,1.0822601485135364,2.76,96.85837,5.6,3.9000000000000057,0.004560743353233801
64,2008-09-01,0.2239921279191703,3.59,97.39437,6.1,-2.0999999999999943,0.0023435674100906
67,2008-12-01,-1.9517418586308957,1.77,96.77791,7.3,-5.900000000000006,0.009471954685322201
70,2009-03-01,-1.2137490639680837,1.07,96.96084,8.7,-1.200000000000017,-0.0046299435087257
73,2009-06-01,-0.3441642109412113,0.39,97.95326,9.5,3.299999999999983,0.0068281183277004
76,2009-09-01,0.4703768160121857,0.25,98.1294,9.8,-0.9000000000000057,-0.0014175661443924003
79,2009-12-01,1.400572030417302,0.22,98.34699,9.9,0.6999999999999886,-0.0028284141901248998
82,2010-03-01,0.7737292568026133,0.23,98.56012,9.9,2.3000000000000114,0.0012831447859384
85,2010-06-01,1.4601333865235766,0.52,98.44367,9.4,-1.3000000000000114,0.00010097687772059994
88,2010-09-01,1.077516157502112,0.28,97.93621,9.5,0.0,0.00015388594326169996
91,2010-12-01,1.108647186523859,0.3,98.54091,9.3,2.0,0.0014827347233433998
94,2011-03-01,0.274170098855131,0.28,98.35714,9.0,3.3999999999999773,0.0019590735767697
97,2011-06-01,1.3424857381531652,0.22,97.97703,9.1,-0.19999999999998863,-0.0031817147345076
100,2011-09-01,0.5794039789969396,0.33,96.84426,9.0,0.5,-0.0009829143083343998
103,2011-12-01,1.2435006339597932,0.49,98.06004,8.5,-1.5999999999999943,-0.001610141564972
106,2012-03-01,1.4300107074376234,0.29,98.9079,8.2,2.5999999999999943,-4.397573791689981e-05
109,2012-06-01,0.8607360659364405,0.32,98.68109,8.2,-2.0999999999999943,0.0012418169610704
112,2012-09-01,0.6936829904643727,0.24,99.09757,7.8,1.700000000000017,-0.0010382616983095
115,2012-12-01,0.6181423852545942,0.24,98.90295,7.9,-0.30000000000001137,0.0015582628897495001
118,2013-03-01,1.3871144213798423,0.21,99.04517,7.5,-0.30000000000001137,-0.0082418458546908
121,2013-06-01,0.4835240637885762,0.19,99.7748,7.5,0.20000000000001705,0.0019662527160069
124,2013-09-01,1.3458976188627236,0.11,99.07097,7.2,-0.29999999999998295,-0.0020103459907627004
127,2013-12-01,1.4048795322923358,0.14,99.24061,6.7,0.8000000000000114,0.0007996797311270001
130,2014-03-01,0.0332654355489125,0.12,99.51752,6.7,1.3000000000000114,0.0009412766808210001
133,2014-06-01,1.8651871542641365,0.11,99.55072,6.1,0.30000000000001137,-0.0005818736974673999
136,2014-09-01,1.6309608101328976,0.12,99.84365,5.9,-0.5999999999999943,0.0002315923521805084
139,2014-12-01,0.605760609221595,0.15,100.8809,5.6,-3.9000000000000057,-0.0012019492920933002
142,2015-03-01,0.8455188255924728,0.14,101.0514,5.4,0.4000000000000057,0.0001593081005950999
145,2015-06-01,1.1971913129488865,0.18,100.93,5.3,1.4000000000000057,-0.0005298245307860999
148,2015-09-01,0.6665396046255267,0.27,100.4538,5.0,-2.8000000000000114,-0.0022433864388595928
151,2015-12-01,0.1821089071150528,0.54,100.6973,5.0,-2.1999999999999886,-0.0022701709179068002
154,2016-03-01,0.4925160035425868,0.55,100.633,5.0,0.799999999999983,0.0044644715618267
157,2016-06-01,1.002751116502476,0.55,100.7557,4.9,2.299999999999983,0.0004118614185093998
160,2016-09-01,0.9669724325451324,0.75,100.4832,5.0,0.30000000000001137,0.0007739880085936002
163,2016-12-01,1.0413579595735856,0.87,101.2288,4.7,1.8999999999999773,0.0013455744420049999
166,2017-03-01,0.9990110207356516,0.98,101.3344,4.4,-0.09999999999999432,-0.0020598589831992
169,2017-06-01,0.8223978692209144,1.16,101.1172,4.3,0.799999999999983,0.0014256066218814
172,2017-09-01,1.3064286431928362,1.25,101.2939,4.3,1.0,0.0012577637577096002
175,2017-12-01,1.74935299283816,1.54,101.341,4.1,0.4000000000000057,-0.0005611181834964999
178,2018-03-01,1.4546275386922547,2.08,101.6295,4.0,0.0,-0.0024999251898269997
181,2018-06-01,1.241401687567234,2.19,101.4384,4.0,1.0,-0.0013568046095034
184,2018-09-01,1.0583496008340187,2.24,101.5003,3.7,0.19999999999998863,0.00027496093177809986
187,2018-12-01,0.5728090128579888,2.69,101.2088,3.9,-1.3000000000000114,0.0013890854645724
190,2019-03-01,0.9261603967555488,2.48,101.2753,3.8,1.6000000000000227,0.0007805377749088003
193,2019-06-01,1.35630648553402,2.3,101.426,3.6,-1.3999999999999773,-0.0005719460958924
196,2019-09-01,1.4918867416103376,2.03,100.9092,3.5,-0.799999999999983,0.0006240760823316999
199,2019-12-01,0.994816497968376,1.76,101.5937,3.6,0.0,9.67959160453999e-05
202,2020-03-01,-0.937208618325347,1.35,100.1966,4.4,-3.5999999999999943,-0.0050031181658578994
205,2020-06-01,-8.248533194352248,0.2,98.59637,11.0,2.5999999999999943,0.0057458244470403
208,2020-09-01,8.77385524997587,0.13,99.11648,7.8,1.1999999999999886,-0.0011052037472634
211,2020-12-01,1.7718420824115677,0.17,99.22284,6.7,2.1999999999999886,0.0020721767703496
214,2021-03-01,2.664516780661108,0.1,99.72382,6.1,4.400000000000006,0.0012773633788822998
217,2021-06-01,3.142845503333147,0.09,99.70004,5.9,4.0,0.0019192336610525003
220,2021-09-01,2.3669531861223447,0.1,98.3926,4.7,2.2630000000000052,0.0014691830492255002
223,2021-12-01,3.574313693203868,0.17,97.95181,3.9,-1.9490000000000123,-0.0011945298413959995
226,2022-03-01,1.7695940894952855,0.73,97.18818,3.7,7.354000000000013,0.0033216148390351006
229,2022-06-01,2.3410212396815844,1.87,96.22865,3.6,7.0,0.0035373257051175
232,2022-09-01,1.806648747949624,3.21,96.67612,3.5,-1.6479999999999677,0.0035127587616535
235,2022-12-01,1.7595379356380336,4.51,97.06937,3.5,-5.259999999999991,-0.002111706029776
238,2023-03-01,1.6087287492382971,4.91,97.35742,3.5,-1.606999999999971,-0.0028408985678474003
241,2023-06-01,1.0655727234351486,5.22,97.55695,3.6,0.19000000000002615,0.0010692063227103
244,2023-09-01,1.8718054303199727,5.49,97.7463,3.8,1.254000000000019,-0.0009623588872287002
247,2023-12-01,1.1773225374974494,5.32,98.1097,3.8,-2.9899999999999807,0.0006926217749758999
250,2024-03-01,1.1559613438429706,5.29,98.91297,3.9,0.16900000000001114,-0.00047542520844400015
253,2024-06-01,1.3717302036967638,5.28,98.91297,4.1,0.6009999999999991,-0.00042488702206540206
256,2024-09-01,1.2344609386162777,4.86,98.91297,4.1,-2.781000000000006,0.0004901838811283998
259,2024-12-01,1.1735625847279163,4.46,98.91297,4.1,0.21000000000000796,0.0008422147498110999
