observation_date,CSCICP03USM665S
1960-01-01,101.63280000000000
1960-02-01,101.37490000000000
1960-03-01,101.15210000000000
1960-04-01,101.02920000000000
1960-05-01,101.06030000000000
1960-06-01,101.14810000000000
1960-07-01,101.16660000000000
1960-08-01,101.02640000000000
1960-09-01,100.80889999999999
1960-10-01,100.62830000000000
1960-11-01,100.56970000000000
1960-12-01,100.59080000000000
1961-01-01,100.63939999999999
1961-02-01,100.69119999999999
1961-03-01,100.76009999999999
1961-04-01,100.88200000000001
1961-05-01,101.08090000000000
1961-06-01,101.28279999999999
1961-07-01,101.37980000000000
1961-08-01,101.29130000000001
1961-09-01,101.13079999999999
1961-10-01,101.05029999999999
1961-11-01,101.15740000000000
1961-12-01,101.35209999999999
1962-01-01,101.49120000000001
1962-02-01,101.46390000000000
1962-03-01,101.32460000000000
1962-04-01,101.14310000000000
1962-05-01,100.96690000000000
1962-06-01,100.82640000000001
1962-07-01,100.76130000000001
1962-08-01,100.81160000000000
1962-09-01,100.93400000000000
1962-10-01,101.08490000000000
1962-11-01,101.23139999999999
1962-12-01,101.33430000000000
1963-01-01,101.33530000000000
1963-02-01,101.18729999999999
1963-03-01,100.98730000000000
1963-04-01,100.86090000000000
1963-05-01,100.89940000000000
1963-06-01,101.02230000000000
1963-07-01,101.12400000000000
1963-08-01,101.13560000000000
1963-09-01,101.10750000000000
1963-10-01,101.11980000000000
1963-11-01,101.23099999999999
1963-12-01,101.38809999999999
1964-01-01,101.51470000000000
1964-02-01,101.55520000000000
1964-03-01,101.54830000000000
1964-04-01,101.54710000000000
1964-05-01,101.58690000000000
1964-06-01,101.64680000000000
1964-07-01,101.69270000000000
1964-08-01,101.69960000000000
1964-09-01,101.68859999999999
1964-10-01,101.69240000000001
1964-11-01,101.73869999999999
1964-12-01,101.81900000000000
1965-01-01,101.92460000000000
1965-02-01,102.04920000000000
1965-03-01,102.16549999999999
1965-04-01,102.23420000000000
1965-05-01,102.22170000000000
1965-06-01,102.16440000000000
1965-07-01,102.10299999999999
1965-08-01,102.06110000000000
1965-09-01,102.02790000000000
1965-10-01,101.98070000000000
1965-11-01,101.89830000000001
1965-12-01,101.78860000000000
1966-01-01,101.65700000000000
1966-02-01,101.50220000000000
1966-03-01,101.33390000000000
1966-04-01,101.15850000000000
1966-05-01,100.97870000000000
1966-06-01,100.79949999999999
1966-07-01,100.63140000000000
1966-08-01,100.49260000000000
1966-09-01,100.40070000000000
1966-10-01,100.39709999999999
1966-11-01,100.52530000000000
1966-12-01,100.72010000000000
1967-01-01,100.90790000000000
1967-02-01,101.03919999999999
1967-03-01,101.12909999999999
1967-04-01,101.19640000000000
1967-05-01,101.24490000000000
1967-06-01,101.26630000000000
1967-07-01,101.23569999999999
1967-08-01,101.13240000000000
1967-09-01,101.01460000000000
1967-10-01,100.96110000000000
1967-11-01,101.02840000000000
1967-12-01,101.14270000000000
1968-01-01,101.20160000000000
1968-02-01,101.12900000000000
1968-03-01,100.98510000000000
1968-04-01,100.85030000000000
1968-05-01,100.78040000000000
1968-06-01,100.75300000000000
1968-07-01,100.73739999999999
1968-08-01,100.72170000000000
1968-09-01,100.72890000000000
1968-10-01,100.80450000000000
1968-11-01,100.98210000000000
1968-12-01,101.18020000000000
1969-01-01,101.28010000000000
1969-02-01,101.18330000000000
1969-03-01,100.96680000000001
1969-04-01,100.71670000000000
1969-05-01,100.48150000000000
1969-06-01,100.25910000000000
1969-07-01,100.03100000000001
1969-08-01,99.78498000000000
1969-09-01,99.54243000000000
1969-10-01,99.34116000000000
1969-11-01,99.21465000000001
1969-12-01,99.13007000000000
1970-01-01,99.05190000000000
1970-02-01,98.96368000000000
1970-03-01,98.88327000000000
1970-04-01,98.84496000000000
1970-05-01,98.87383000000000
1970-06-01,98.91792000000000
1970-07-01,98.90580000000000
1970-08-01,98.78901999999999
1970-09-01,98.64055999999999
1970-10-01,98.56737000000000
1970-11-01,98.65442000000000
1970-12-01,98.83360999999999
1971-01-01,99.02070000000001
1971-02-01,99.16006000000000
1971-03-01,99.26160000000000
1971-04-01,99.34393000000000
1971-05-01,99.41531999999999
1971-06-01,99.47387999999999
1971-07-01,99.51089000000000
1971-08-01,99.52679000000001
1971-09-01,99.56896999999999
1971-10-01,99.71180000000000
1971-11-01,100.01060000000000
1971-12-01,100.35500000000000
1972-01-01,100.59410000000000
1972-02-01,100.61700000000000
1972-03-01,100.53789999999999
1972-04-01,100.50790000000001
1972-05-01,100.62949999999999
1972-06-01,100.82140000000000
1972-07-01,100.95580000000000
1972-08-01,100.92650000000000
1972-09-01,100.77370000000001
1972-10-01,100.53600000000000
1972-11-01,100.22700000000000
1972-12-01,99.89554000000000
1973-01-01,99.58959000000000
1973-02-01,99.34142000000000
1973-03-01,99.12788999999999
1973-04-01,98.92616000000000
1973-05-01,98.73454000000000
1973-06-01,98.58174000000000
1973-07-01,98.52204999999999
1973-08-01,98.59159000000000
1973-09-01,98.67157000000000
1973-10-01,98.59557000000000
1973-11-01,98.24638000000000
1973-12-01,97.80880999999999
1974-01-01,97.54128000000000
1974-02-01,97.63576000000000
1974-03-01,97.90758000000000
1974-04-01,98.10578000000000
1974-05-01,98.04600000000001
1974-06-01,97.81698000000000
1974-07-01,97.53783000000000
1974-08-01,97.28444000000000
1974-09-01,97.06608000000000
1974-10-01,96.88621000000001
1974-11-01,96.76833000000001
1974-12-01,96.74330000000000
1975-01-01,96.89252999999999
1975-02-01,97.29836000000000
1975-03-01,97.82019000000000
1975-04-01,98.28590000000000
1975-05-01,98.56734000000000
1975-06-01,98.71187000000000
1975-07-01,98.77493000000000
1975-08-01,98.78940000000000
1975-09-01,98.81657000000000
1975-10-01,98.92770000000000
1975-11-01,99.17292999999999
1975-12-01,99.46616000000000
1976-01-01,99.69358000000000
1976-02-01,99.77404000000000
1976-03-01,99.78529000000000
1976-04-01,99.83242000000000
1976-05-01,99.98558000000000
1976-06-01,100.18170000000001
1976-07-01,100.32299999999999
1976-08-01,100.33180000000000
1976-09-01,100.26160000000000
1976-10-01,100.18140000000000
1976-11-01,100.14030000000000
1976-12-01,100.14100000000001
1977-01-01,100.18559999999999
1977-02-01,100.27840000000000
1977-03-01,100.38520000000000
1977-04-01,100.46250000000001
1977-05-01,100.47250000000000
1977-06-01,100.42760000000000
1977-07-01,100.33300000000000
1977-08-01,100.18480000000000
1977-09-01,100.01720000000000
1977-10-01,99.87012000000000
1977-11-01,99.77582000000000
1977-12-01,99.72543000000000
1978-01-01,99.69241000000000
1978-02-01,99.61221000000000
1978-03-01,99.47431000000000
1978-04-01,99.47305000000000
1978-05-01,99.49724000000001
1978-06-01,99.46142999999999
1978-07-01,99.43505999999999
1978-08-01,99.33629000000001
1978-09-01,99.24139000000000
1978-10-01,99.01192000000000
1978-11-01,98.62542000000001
1978-12-01,98.27516000000000
1979-01-01,98.24982000000000
1979-02-01,98.23451000000000
1979-03-01,98.04340000000001
1979-04-01,97.84726999999999
1979-05-01,97.71626999999999
1979-06-01,97.53304000000000
1979-07-01,97.37135000000001
1979-08-01,97.40817000000000
1979-09-01,97.44877000000000
1979-10-01,97.37322000000000
1979-11-01,97.35517000000000
1979-12-01,97.39511000000000
1980-01-01,97.47986000000000
1980-02-01,97.27154000000000
1980-03-01,96.73009000000000
1980-04-01,96.30981000000000
1980-05-01,96.27487000000001
1980-06-01,96.67149000000001
1980-07-01,97.24512000000000
1980-08-01,97.86893999999999
1980-09-01,98.39467000000000
1980-10-01,98.61812999999999
1980-11-01,98.50801000000000
1980-12-01,98.13569000000000
1981-01-01,97.98567000000000
1981-02-01,97.88979000000000
1981-03-01,97.99059000000000
1981-04-01,98.30674999999999
1981-05-01,98.58508999999999
1981-06-01,98.67999000000000
1981-07-01,98.73473000000000
1981-08-01,98.70944000000000
1981-09-01,98.44422000000000
1981-10-01,98.04984000000000
1981-11-01,97.68962000000001
1981-12-01,97.64382999999999
1982-01-01,97.75028000000000
1982-02-01,97.66240000000001
1982-03-01,97.53255000000000
1982-04-01,97.56945000000000
1982-05-01,97.63757000000000
1982-06-01,97.63278000000000
1982-07-01,97.65004000000000
1982-08-01,97.77594000000001
1982-09-01,98.03615000000001
1982-10-01,98.26945000000001
1982-11-01,98.32732000000000
1982-12-01,98.32396000000000
1983-01-01,98.42515000000000
1983-02-01,98.82805999999999
1983-03-01,99.48321000000000
1983-04-01,100.18670000000000
1983-05-01,100.65600000000001
1983-06-01,100.80459999999999
1983-07-01,100.76860000000001
1983-08-01,100.62730000000001
1983-09-01,100.51110000000000
1983-10-01,100.51790000000000
1983-11-01,100.71169999999999
1983-12-01,101.04540000000000
1984-01-01,101.37880000000000
1984-02-01,101.51060000000000
1984-03-01,101.54030000000000
1984-04-01,101.41810000000000
1984-05-01,101.33990000000000
1984-06-01,101.29130000000001
1984-07-01,101.36239999999999
1984-08-01,101.48880000000000
1984-09-01,101.51139999999999
1984-10-01,101.34390000000000
1984-11-01,101.16240000000001
1984-12-01,101.03120000000000
1985-01-01,101.01290000000000
1985-02-01,100.97010000000000
1985-03-01,100.94870000000000
1985-04-01,100.94980000000000
1985-05-01,100.95080000000000
1985-06-01,101.01090000000001
1985-07-01,100.93980000000001
1985-08-01,100.79160000000000
1985-09-01,100.64090000000000
1985-10-01,100.54300000000001
1985-11-01,100.64890000000000
1985-12-01,100.86700000000000
1986-01-01,101.05190000000000
1986-02-01,101.14000000000000
1986-03-01,101.16500000000001
1986-04-01,101.20529999999999
1986-05-01,101.26430000000001
1986-06-01,101.36040000000000
1986-07-01,101.30220000000000
1986-08-01,101.12370000000000
1986-09-01,100.95320000000000
1986-10-01,100.86220000000000
1986-11-01,100.68200000000000
1986-12-01,100.53060000000001
1987-01-01,100.49860000000000
1987-02-01,100.52860000000000
1987-03-01,100.60110000000000
1987-04-01,100.68030000000000
1987-05-01,100.71299999999999
1987-06-01,100.78480000000000
1987-07-01,100.88679999999999
1987-08-01,100.89149999999999
1987-09-01,100.70950000000001
1987-10-01,100.36810000000000
1987-11-01,100.09800000000000
1987-12-01,100.16889999999999
1988-01-01,100.42770000000000
1988-02-01,100.66440000000000
1988-03-01,100.82490000000000
1988-04-01,100.86799999999999
1988-05-01,100.95910000000001
1988-06-01,101.02630000000001
1988-07-01,101.09320000000000
1988-08-01,101.20050000000001
1988-09-01,101.18540000000000
1988-10-01,101.04620000000000
1988-11-01,100.94540000000001
1988-12-01,100.97180000000000
1989-01-01,101.11140000000000
1989-02-01,101.09130000000000
1989-03-01,100.94799999999999
1989-04-01,100.75200000000000
1989-05-01,100.62179999999999
1989-06-01,100.59000000000000
1989-07-01,100.63860000000000
1989-08-01,100.71960000000000
1989-09-01,100.87130000000001
1989-10-01,100.85420000000001
1989-11-01,100.73030000000000
1989-12-01,100.65630000000000
1990-01-01,100.65370000000000
1990-02-01,100.63570000000000
1990-03-01,100.70450000000000
1990-04-01,100.75680000000000
1990-05-01,100.62730000000001
1990-06-01,100.34229999999999
1990-07-01,99.86091999999999
1990-08-01,99.08856000000000
1990-09-01,98.34657000000000
1990-10-01,97.75354000000000
1990-11-01,97.54295000000000
1990-12-01,97.60697000000000
1991-01-01,97.95465000000000
1991-02-01,98.58893999999999
1991-03-01,99.31223000000000
1991-04-01,99.51653000000000
1991-05-01,99.49950000000000
1991-06-01,99.56474000000000
1991-07-01,99.62606000000000
1991-08-01,99.59038000000000
1991-09-01,99.39061000000000
1991-10-01,98.91525000000000
1991-11-01,98.32610000000000
1991-12-01,97.97945000000000
1992-01-01,97.93080999999999
1992-02-01,98.17536000000000
1992-03-01,98.61414000000001
