,infl_rate_diff,ridge,pca,lstm
0,0.0013455744420049,0.001272979153725,-0.0012570790523434,-5.72541e-05
1,-0.0020598589831992,0.0014856799824538,0.0002557472492322,0.0012876396
2,0.0014256066218814,0.00064260652681,-0.0005848712755591,0.00072874565
3,0.0012577637577096,0.0012410066719226,0.0002562228600317,-6.190632e-05
4,-0.0005611181834964,0.0020416546593299,0.0012987899677429,0.00074103253
5,-0.0024999251898269,-0.0006164457367797,-0.0001025209668253,-0.00019700352
6,-0.0013568046095034,-0.001056627032762,0.0006660948490863,-0.00020326424
7,0.000274960931778,0.0013702914797105,0.0021157650707352,0.00034887408
8,0.0013890854645724,-0.0001621065852983,0.0008252102619506,-0.0010261897
9,0.0007805377749088,-0.0004929095983838,-0.0010844983364076,0.004273932
10,-0.0005719460958924,0.0019564909831483,0.0011399851700072,-0.002295922
11,0.0006240760823316,-0.0001689373783735,-5.7640940854276375e-05,0.012490534413782386
12,9.67959160453999e-05,0.000910117914147,0.0001766157243439,0.01045946508928128
13,-0.0050031181658578,0.0012536761112554,0.0003435949341456,0.010615016410929589
14,0.0057458244470403,0.0005499929843452,0.0005453640891251,0.0071975226
15,-0.0011052037472634,0.0058463985765618,0.0018706392919253,0.0013981911
16,0.0020721767703496,-0.0030721702850112,0.0009929947676348,0.0022759186
17,0.0012773633788822,-0.0001585139701394,-0.0011890052055702,-0.006233381
18,0.0019192336610525,-0.0050058440938434,-0.0008500035082685,-0.0032554436
19,0.0014691830492255,0.003597180247358,0.0027551435527273,0.0008881539
20,-0.0011945298413959,-0.0017073806244694,-0.0032020469649305,-0.0027067503
21,0.0033216148390351,-0.0060161763931908,0.0013241044662072,0.0021829456
22,0.0035373257051175,-0.0038569394115857,-0.0059269290900016,-0.0031872587
23,0.0035127587616535,-0.0022322441341509,0.0005794406297411,7.755542e-05
24,-0.002111706029776,-0.0028189730840366,0.0010871191159675,0.0015132034
25,-0.0028408985678474,0.0023737429831963,0.0009345777363229,0.0018773645
26,0.0010692063227103,-0.0030317299239729,-0.0036952518837483,0.0007542972
27,-0.0009623588872287,0.0009710591963963,6.10411684065911e-05,-0.0008663093
28,0.0006926217749758,0.0069555558188988,8.067638741922069e-05,0.00032692752
29,-0.000475425208444,-0.0009898619038838,-0.0022624629249755,-0.0009067357
30,-0.0004248870220654,0.0031902138475455,0.00018267923774,-0.00049187103
31,0.0004901838811283,0.0019736909095249,0.0008448741012256,-0.00057949923
32,0.000842214749811,0.0012422025659802,2.164972915170516e-05,-0.0007367655
