,Date,Macro_Variable,Forecast_infl_rate,Actual_infl_rate,Lower_95_CI,Upper_95_CI,Within_95_CI
0,2014-08-01,cons_conf,0.0014841667897105726,-0.0001600013473797,-0.0047984399882396245,0.007766773567660769,True
1,2014-09-01,cons_conf,0.001332068755801942,7.159100480080838e-05,-0.004957798078038488,0.007621935589642371,True
2,2014-10-01,cons_conf,0.0016685801185801763,-0.0001979139032411,-0.004621680691300929,0.007958840928461282,True
3,2014-11-01,cons_conf,0.000611982689552191,-0.0018826601524659,-0.005684682279488015,0.006908647658592397,True
4,2014-12-01,cons_conf,-0.0008550350586562967,-0.0030846094445592,-0.007169688025709001,0.005459617908396408,True
5,2015-01-01,cons_conf,-0.0011942320404215337,-0.0063703164417655,-0.007466341555737405,0.005077877474894337,True
6,2015-02-01,cons_conf,-0.0025990809868910447,0.0025346436802173,-0.008950290923887712,0.003752128950105624,True
7,2015-03-01,cons_conf,0.003792421119668513,0.0026939517808124,-0.0026075597636796084,0.010192402003016635,True
8,2015-04-01,cons_conf,0.002307870766643085,0.0010424788961589,-0.004094254974356675,0.008709996507642846,True
9,2015-05-01,cons_conf,0.0008323991625486978,0.0032977453412468,-0.005572050298826845,0.00723684862392424,True
10,2015-06-01,cons_conf,0.005060070249539389,0.0027679208104607,-0.0013216602126340906,0.011441800711712868,True
11,2015-07-01,cons_conf,0.0009298416336922743,0.0015863197801873,-0.005466222952126041,0.007325906219510589,True
12,2015-08-01,cons_conf,0.0018768531806749803,-4.20108051790713e-06,-0.004433438179750898,0.008187144541100859,True
13,2015-09-01,cons_conf,0.0013137126047521597,-0.0022475875193775,-0.005003653886420312,0.007631079095924632,True
14,2015-10-01,cons_conf,-0.0019926243085111785,0.0009894820166906,-0.008015766193542368,0.004030517576520011,True
15,2015-11-01,cons_conf,0.0006663316283238225,0.0011946174910508,-0.005177577889149042,0.006510241145796687,True
16,2015-12-01,cons_conf,0.0010516074168382206,-0.001075553426856,-0.0047064845053968055,0.006809699339073247,True
17,2016-01-01,cons_conf,-0.0006664140875228522,-0.0004584435630738,-0.006433537461769345,0.00510070928672364,True
18,2016-02-01,cons_conf,-0.0008393666683534514,-0.0013296753235823,-0.006556268883855933,0.00487753554714903,True
19,2016-03-01,cons_conf,-0.0012252103988970565,0.0031347962382444,-0.006942241726901834,0.00449182092910772,True
20,2016-04-01,cons_conf,0.0020099026456344786,0.0038306451612901,-0.003755511545581993,0.0077753168368509505,True
21,2016-05-01,cons_conf,0.002574946582590734,0.0023640958693178,-0.00319222697404678,0.008342120139228248,True
22,2016-06-01,cons_conf,0.0018537607872657954,0.0027759572878272,-0.0038487529819901407,0.0075562745565217315,True
23,2016-07-01,cons_conf,0.0021919254865508087,-0.0005037007434789,-0.003513098590205936,0.007896949563307554,True
24,2016-08-01,cons_conf,-0.0006347659024742027,0.0018492217858316,-0.006341965175696124,0.0050724333707477184,True
25,2016-09-01,cons_conf,0.0034030247166223155,0.0026232097944252,-0.002311073150088513,0.009117122583333144,True
26,2016-10-01,cons_conf,0.002192673816553296,0.0023426874979268,-0.0034457139604579658,0.007831061593564557,True
27,2016-11-01,cons_conf,0.0017069785538988205,0.0011789477167711,-0.0038981514120394545,0.007312108519837096,True
28,2016-12-01,cons_conf,0.0005052470674161975,0.0025245221587761,-0.005098338905678077,0.006108833040510471,True
29,2017-01-01,cons_conf,0.001738856257788602,0.0040430766948156,-0.0038615780457041033,0.007339290561281308,True
30,2017-02-01,cons_conf,0.00340525728965843,0.0015926573570097,-0.0022116487873461476,0.009022163366663009,True
31,2017-03-01,cons_conf,0.0004333563013833061,-0.0004672016261895,-0.005185234162632661,0.006051946765399274,True
32,2017-04-01,cons_conf,0.0009097676646505799,0.0012341528217407,-0.00470563401881753,0.00652516934811869,True
33,2017-05-01,cons_conf,0.0030164027941660208,-0.0007739779600562,-0.0025729833659855197,0.008605788954317562,True
34,2017-06-01,cons_conf,-9.927575348527375e-05,0.0006516286618252,-0.005730283339841689,0.005531731832871142,True
35,2017-07-01,cons_conf,0.0024759722678956222,0.0003276499715354,-0.0031445375180674372,0.008096482053858682,True
36,2017-08-01,cons_conf,0.0014581736381861846,0.0038486261632881,-0.004176442223142412,0.0070927894995147815,True
37,2017-09-01,cons_conf,0.0044431523519971325,0.0051063899209977,-0.0012086498641025803,0.010094954568096845,True
38,2017-10-01,cons_conf,0.0035485334902978114,0.0007750522450138,-0.0020824732046019184,0.009179540185197541,True
39,2017-11-01,cons_conf,0.0006109086271779564,0.0026680074282516,-0.005041639656516373,0.006263456910872286,True
40,2017-12-01,cons_conf,0.002514280935489304,0.0021068892447551,-0.0030686357294357593,0.008097197600414368,True
41,2018-01-01,cons_conf,0.0021511053526758694,0.0042533443635115,-0.003428677972404135,0.007730888677755874,True
42,2018-02-01,cons_conf,0.004050298339605471,0.002692287600609,-0.0015416858746088473,0.00964228255381979,True
43,2018-03-01,cons_conf,0.002562333199501809,0.000192362410782,-0.0030331479518629495,0.008157814350866568,True
44,2018-04-01,cons_conf,0.0005932261339757561,0.0026044066560619,-0.005018399603510529,0.006204851871462041,True
45,2018-05-01,cons_conf,0.0025640471014821394,0.0022579497815982,-0.0030595100109870044,0.008187604213951283,True
46,2018-06-01,cons_conf,0.0018647264435195814,0.0009011451720948,-0.0036825540013057313,0.007412006888344895,True
47,2018-07-01,cons_conf,0.002010948175216934,0.0007808204989283,-0.0034151666724533715,0.00743706302288724,True
48,2018-08-01,cons_conf,0.0008380299833546904,0.0017873207703393,-0.0045904266487798015,0.006266486615489183,True
