,Date,Forecast_infl_rate,Actual_infl_rate,Lower_95_CI,Upper_95_CI,Within_95_CI
0,2013-09-01,0.0018817671711502705,0.0003769446919335,-0.004819278128438281,0.008582812470738822,True
1,2013-10-01,0.0007325283500507279,0.0005352310485391,-0.005972839274625078,0.007437895974726533,True
2,2013-11-01,0.0010887645054219438,0.0018444894273523,-0.005585635041561296,0.007763164052405184,True
3,2013-12-01,0.0020878114169916888,0.0026441691584793,-0.004586968076492047,0.008762590910475425,True
4,2014-01-01,0.0019762484602300354,0.0024241752904536,-0.004698219572366381,0.008650716492826453,True
5,2014-02-01,0.0018154070829983781,0.0011007786202441,-0.0048546156449591656,0.008485429810955921,True
6,2014-03-01,0.0012172891094112829,0.0020420553010651,-0.00545305853485991,0.007887636753682476,True
7,2014-04-01,0.0023679821125883946,0.0018641856050976,-0.004302735595412294,0.009038699820589084,True
8,2014-05-01,0.0019313386028196597,0.0019030059035471,-0.004738230948011067,0.008600908153650387,True
9,2014-06-01,0.0016770736407293505,0.0013211322060797,-0.004982863516486059,0.008337010797944761,True
10,2014-07-01,0.0014509509732580099,0.0011254852864928,-0.005209222038382698,0.008111123984898718,True
11,2014-08-01,0.0013477610399334169,-0.0001600013473797,-0.005303032652476444,0.007998554732343278,True
12,2014-09-01,0.00031181619498983724,7.159100480080838e-05,-0.006343942191892039,0.006967574581871713,True
13,2014-10-01,0.0004905114187865132,-0.0001979139032411,-0.006159887090906083,0.0071409099284791095,True
14,2014-11-01,7.326511753727867e-05,-0.0018826601524659,-0.0065704708958371745,0.006717001130911732,True
15,2014-12-01,-0.0015815005525280038,-0.0030846094445592,-0.008233389125504583,0.005070388020448575,True
16,2015-01-01,-0.0022565457125480618,-0.0063703164417655,-0.008886315540599501,0.004373224115503378,True
17,2015-02-01,-0.004952407551391022,0.0025346436802173,-0.011621289441448985,0.00171647433866694,False
18,2015-03-01,0.00197239414898082,0.0026939517808124,-0.004811375154052715,0.008756163452014356,True
19,2015-04-01,0.0005228249637833299,0.0010424788961589,-0.006259901631939101,0.007305551559505761,True
20,2015-05-01,-0.0011410575287121878,0.0032977453412468,-0.007922756881296742,0.005640641823872366,True
21,2015-06-01,0.003363504155827253,0.0027679208104607,-0.003444796830942812,0.010171805142597318,True
22,2015-07-01,0.002544890436601255,0.0015863197801873,-0.004264256713347139,0.00935403758654965,True
23,2015-08-01,0.0014385379332439033,-4.20108051790713e-06,-0.005321541332280885,0.00819861719876869,True
24,2015-09-01,0.0007954940378523915,-0.0022475875193775,-0.005968553852681868,0.007559541928386651,True
25,2015-10-01,-0.001056728200111518,0.0009894820166906,-0.0075999613822130534,0.0054865049819900185,True
26,2015-11-01,0.0015332964426643283,0.0011946174910508,-0.004789979991051494,0.00785657287638015,True
27,2015-12-01,0.0005794274502072648,-0.001075553426856,-0.005643361328067646,0.006802216228482177,True
28,2016-01-01,-0.001405639438805872,-0.0004584435630738,-0.007630487020596186,0.004819208142984442,True
29,2016-02-01,1.8697106971259515e-05,-0.0013296753235823,-0.006190345216104462,0.006227739430046982,True
30,2016-03-01,-0.0008935209963138086,0.0031347962382444,-0.007061125636636316,0.005274083644008699,True
31,2016-04-01,0.0024225445934434138,0.0038306451612901,-0.003767059973064762,0.00861214915995159,True
32,2016-05-01,0.0026158412859945,0.0023640958693178,-0.0035467654865624075,0.008778448058551408,True
33,2016-06-01,0.0013337860939112755,0.0027759572878272,-0.004813379243014695,0.007480951430837246,True
34,2016-07-01,0.002951684420444396,-0.0005037007434789,-0.003200604646699721,0.009103973487588513,True
35,2016-08-01,0.00029418687628847754,0.0018492217858316,-0.005862083325744668,0.006450457078321623,True
36,2016-09-01,0.002183901242278293,0.0026232097944252,-0.003975611245910712,0.008343413730467299,True
37,2016-10-01,0.0027581922630564304,0.0023426874979268,-0.0031862291243097375,0.008702613650422599,True
38,2016-11-01,0.001647281504911868,0.0011789477167711,-0.004295439030789333,0.007590002040613069,True
39,2016-12-01,0.0013038883199795884,0.0025245221587761,-0.0046235539042598665,0.007231330544219043,True
40,2017-01-01,0.002597781245723166,0.0040430766948156,-0.0032933570838882768,0.008488919575334609,True
41,2017-02-01,0.0037177830902296867,0.0015926573570097,-0.002172527647399007,0.00960809382785838,True
42,2017-03-01,0.001334512647820993,-0.0004672016261895,-0.004526885636387505,0.00719591093202949,True
43,2017-04-01,0.00012015127873020914,0.0012341528217407,-0.005738624543614786,0.005978927101075204,True
44,2017-05-01,0.0020208413288105736,-0.0007739779600562,-0.0038264464456304755,0.007868129103251622,True
