,Date,Forecast_infl_rate,Actual_infl_rate,Lower_95_FI,Upper_95_FI,Within_95_FI
0,1996-04-01,0.0035386730207330043,0.0058910162002945,-0.006612082421078006,0.013689428462544015,True
1,1996-05-01,0.0047637439913017,0.0043923865300146,-0.005289420073549389,0.014816908056152791,True
2,1996-06-01,0.004944492869512605,0.0014577259475219,-0.005052354983597899,0.014941340722623108,True
3,1996-07-01,0.0025619925278372356,-0.0058224163027656,-0.007422823972098922,0.012546809027773394,True
4,1996-08-01,-0.0032007670395743856,0.0058565153733529,-0.013279611356027806,0.006878077276879035,True
5,1996-09-01,0.0014715897497548716,0.0043668122270741,-0.008696792845505006,0.01163997234501475,True
6,1996-10-01,0.004927534749765957,0.0014492753623187,-0.005224110293534893,0.015079179793066807,True
7,1996-11-01,0.0025275771413397785,0.0014471780028944,-0.00763478791523056,0.012689942197910116,True
8,1996-12-01,0.0013905344741853927,0.0028901734104047,-0.008733759285030446,0.011514828233401232,True
9,1997-01-01,0.0023461104177492065,-0.0028818443804035,-0.007768727514426279,0.012460948349924693,True
10,1997-02-01,-0.0008296400422559509,0.0014450867052022,-0.010986937864221495,0.009327657779709592,True
11,1997-03-01,-0.00019513610662608562,0.0014430014430015,-0.010360333594910377,0.009970061381658207,True
12,1997-04-01,0.0014313722912419466,0.0043227665706051,-0.008731701898053796,0.011594446480537687,True
13,1997-05-01,0.0032144713857887525,0.0043041606886655,-0.0068246552764271605,0.013253598048004665,True
14,1997-06-01,0.00431657526834326,0.0014285714285713,-0.005634551687932627,0.014267702224619148,True
15,1997-07-01,0.002473936244956362,-0.0014265335235377,-0.007453036490368584,0.012400908980281308,True
16,1997-08-01,-0.00041790011848489824,0.0042857142857142,-0.010366660513414335,0.00953086027644454,True
17,1997-09-01,0.0022622417962010954,0.0028449502133713,-0.007701659961252854,0.012226143553655044,True
18,1997-10-01,0.0033618594820611167,0.0014184397163119,-0.006599476318934467,0.0133231952830567,True
19,1997-11-01,0.0018967696618906258,0.0,-0.008064389280930987,0.011857928604712237,True
20,1997-12-01,0.0004533344855954253,0.0014164305949009,-0.009512815450944009,0.010419484422134858,True
21,1998-01-01,0.0009180166419134485,-0.0042432814710041,-0.008994244296252769,0.010830277580079666,True
22,1998-02-01,-0.0022357331938348234,0.0028409090909089,-0.012189312738446572,0.007717846350776925,True
23,1998-03-01,0.0002225956180869253,0.0028328611898016,-0.009762250452810779,0.010207441688984627,True
24,1998-04-01,0.002826102235039418,0.0056497175141243,-0.007155916796763989,0.012808121266842824,True
25,1998-05-01,0.004542248568177008,0.0042134831460673,-0.0053119477629214405,0.014396444899275456,True
26,1998-06-01,0.004706682752311535,-0.0013986013986013,-0.005099369783311513,0.014512735287934585,True
27,1998-07-01,0.0005920865280059238,-0.0028011204481792,-0.009260028950297688,0.010444202006309536,True
28,1998-08-01,-0.002339750327010443,0.002808988764045,-0.012182566870210297,0.007503066216189411,True
29,1998-09-01,0.0007879458541513416,0.0042016806722688,-0.009060926702463864,0.010636818410766547,True
30,1998-10-01,0.0037073314656338573,0.0,-0.0061604397870842695,0.013575102718351984,True
31,1998-11-01,0.0014153349874436616,0.0013947001394698,-0.008471890855221535,0.01130256083010886,True
32,1998-12-01,0.0008500132131916323,0.0027855153203342,-0.00903634141123524,0.010736367837618506,True
33,1999-01-01,0.0023101327160041114,-0.0027777777777777,-0.007520518919978354,0.012140784351986577,True
34,1999-02-01,-0.0008951073948657957,0.0013927576601673,-0.010761809213025487,0.008971594423293896,True
35,1999-03-01,-0.00012012904042110512,0.0055632823365783,-0.0099918626141925,0.009751604533350288,True
36,1999-04-01,0.004110056857842774,0.0041493775933609,-0.005807564526994112,0.01402767824267966,True
37,1999-05-01,0.004591783432048427,0.0027548209366392,-0.005289720469416797,0.01447328733351365,True
38,1999-06-01,0.0031785682363730783,-0.0013736263736261,-0.006707768730949568,0.013064905203695725,True
39,1999-07-01,2.4356128204873918e-05,-0.0041265474552957,-0.009823843888475079,0.009872556144884826,True
40,1999-08-01,-0.0032045022690362843,0.0027624309392262,-0.013054706471273034,0.006645701933200465,True
41,1999-09-01,0.00031133501756899166,0.0027548209366392,-0.009594300702900942,0.010216970738038924,True
42,1999-10-01,0.002717602729145991,0.0,-0.007126512247826684,0.012561717706118667,True
43,1999-11-01,0.0009048263305582456,0.0013736263736265,-0.008944129208703331,0.01075378186981982,True
44,1999-12-01,0.0008383224263099367,0.0027434842249653,-0.0089861426989074,0.010662787551527272,True
45,2000-01-01,0.0022486765081270394,-0.0068399452804377,-0.007563431825142695,0.012060784841396773,True
46,2000-02-01,-0.0034405837766819753,0.0027548209366392,-0.013384867775340127,0.006503700221976177,True
47,2000-03-01,-0.0010234050829484136,0.0027472527472529,-0.01095909425913532,0.008912284093238493,True
48,2000-04-01,0.0027205913838505608,0.0041095890410955,-0.007216409991008579,0.0126575927587097,True
49,2000-05-01,0.003476497588747851,0.0027285129604368,-0.005869491935081411,0.012822487112577113,True
50,2000-06-01,0.003017653125230046,0.0013605442176867,-0.006250224517108093,0.012285530767568184,True
51,2000-07-01,0.001792059626344746,-0.0040760869565217,-0.0072405972912147586,0.01082471654390425,True
52,2000-08-01,-0.002159847416628665,0.0,-0.011185339541652095,0.006865644708394765,True
53,2000-09-01,-0.001531529789632693,0.0068212824010913,-0.010454774026351057,0.007391714447085671,True
54,2000-10-01,0.004373095943860659,0.0,-0.004657496894739872,0.01340368878246119,True
55,2000-11-01,0.0023944754117077244,0.0027100271002711,-0.006669673967522259,0.011458624790937708,True
