,Date,Forecast_infl_rate,Actual_infl_rate,Lower_95_CI,Upper_95_CI,Within_95_CI
0,2013-07-01,0.0022359342905146637,0.0019574523005443,-0.005105988343900116,0.009577856924929445,True
1,2013-08-01,0.0019828208933053942,0.0023872906826962,-0.005346414298685098,0.009312056085295886,True
2,2013-09-01,0.0023331457219032173,0.0003769446919335,-0.0049928376451972255,0.009659129089003661,True
3,2013-10-01,0.0005234677132384296,0.0005352310485391,-0.006808806241119593,0.007855741667596451,True
4,2013-11-01,0.0005325907151308814,0.0018444894273523,-0.006756156552658079,0.007821337982919842,True
5,2013-12-01,0.0017451969264411383,0.0026441691584793,-0.005543989468033596,0.009034383320915874,True
6,2014-01-01,0.0025754158881964467,0.0024241752904536,-0.004703836991697519,0.009854668768090411,True
7,2014-02-01,0.002427970470212796,0.0011007786202441,-0.004844019588146108,0.0096999605285717,True
8,2014-03-01,0.0012055991244289913,0.0020420553010651,-0.006061294004254859,0.008472492253112841,True
9,2014-04-01,0.0019578655397917218,0.0018641856050976,-0.005310497550869478,0.00922622863045292,True
10,2014-05-01,0.0018819013398505278,0.0019030059035471,-0.005385829826863251,0.009149632506564306,True
11,2014-06-01,0.0018801039415692403,0.0013211322060797,-0.005372155077296991,0.009132362960435472,True
12,2014-07-01,0.0013497504180567178,0.0011254852864928,-0.005903008126361918,0.008602508962475353,True
13,2014-08-01,0.0011413688714943966,-0.0001600013473797,-0.006095170903160615,0.008377908646149408,True
14,2014-09-01,-5.212203839991957e-05,7.159100480080838e-05,-0.007291158605151724,0.007186914528351885,True
15,2014-10-01,2.4968962651902984e-05,-0.0001979139032411,-0.007198753370699846,0.007248691296003652,True
16,2014-11-01,-0.00022116523260040625,-0.0018826601524659,-0.007432307681192161,0.006989977215991348,True
17,2014-12-01,-0.001788678622188497,-0.0030846094445592,-0.009005794629775046,0.0054284373853980515,True
18,2015-01-01,-0.00300591225030431,-0.0063703164417655,-0.010176455968973012,0.004164631468364393,True
19,2015-02-01,-0.006121574073694981,0.0025346436802173,-0.013315738063022695,0.0010725899156327325,False
20,2015-03-01,0.001559844797955115,0.0026939517808124,-0.0057516721189612725,0.008871361714871503,True
21,2015-04-01,0.002668574656148169,0.0010424788961589,-0.004645641334223037,0.009982790646519375,True
22,2015-05-01,0.0011921982976119412,0.0032977453412468,-0.006127140724819473,0.008511537320043356,True
23,2015-06-01,0.003091462295350511,0.0027679208104607,-0.004207272812180227,0.01039019740288125,True
24,2015-07-01,0.002844987986679104,0.0015863197801873,-0.004453094427649306,0.010143070401007514,True
25,2015-08-01,0.001676274087484731,-4.20108051790713e-06,-0.005549940272167523,0.008902488447136985,True
26,2015-09-01,0.00011190474730283975,-0.0022475875193775,-0.007119741505382588,0.0073435509999882674,True
27,2015-10-01,-0.002149328684337427,0.0009894820166906,-0.009258397134686592,0.004959739766011738,True
28,2015-11-01,0.0008027130399271767,0.0011946174910508,-0.0060162474006405335,0.007621673480494888,True
29,2015-12-01,0.0012224061404548388,-0.001075553426856,-0.005458658041851611,0.00790347032276129,True
30,2016-01-01,-0.0008640781189177886,-0.0004584435630738,-0.007512310287296152,0.005784154049460574,True
31,2016-02-01,-0.0005876309415079997,-0.0013296753235823,-0.00712790867922107,0.00595264679620507,True
32,2016-03-01,-0.0012647963350434462,0.0031347962382444,-0.007747551691114461,0.005217959021027568,True
33,2016-04-01,0.0027050868945178545,0.0038306451612901,-0.003825197106554948,0.009235370895590657,True
34,2016-05-01,0.003754076413881213,0.0023640958693178,-0.00274704256336275,0.010255195391125176,True
35,2016-06-01,0.002496014352421339,0.0027759572878272,-0.004002939340818289,0.008994968045660967,True
36,2016-07-01,0.002738557721000087,-0.0005037007434789,-0.003759375631012759,0.009236491073012932,True
37,2016-08-01,-0.00024024518208772856,0.0018492217858316,-0.006742405771697242,0.006261915407521784,True
38,2016-09-01,0.0015898940798717096,0.0026232097944252,-0.00492181933722228,0.008101607496965698,True
39,2016-10-01,0.002603051384433847,0.0023426874979268,-0.003683421743308847,0.00888952451217654,True
40,2016-11-01,0.0024365041579922104,0.0011789477167711,-0.0038492513963490228,0.008722259712333444,True
41,2016-12-01,0.0013188745919855797,0.0025245221587761,-0.004907158746005625,0.007544907929976785,True
42,2017-01-01,0.0023212076565119993,0.0040430766948156,-0.003827455571932798,0.008469870884956796,True
43,2017-02-01,0.0038800531623951755,0.0015926573570097,-0.0022497440646429717,0.010009850389433323,True
44,2017-03-01,0.001859580250647456,-0.0004672016261895,-0.004275560408754438,0.007994720910049349,True
45,2017-04-01,-0.00028181019813933606,0.0012341528217407,-0.00642420734686448,0.005860586950585808,True
46,2017-05-01,0.0010196546956896548,-0.0007739779600562,-0.005117963907751124,0.007157273299130433,True
47,2017-06-01,-0.0005852345035612181,0.0006516286618252,-0.006729064992792391,0.005558595985669954,True
48,2017-07-01,0.00046818572476960835,0.0003276499715354,-0.005672359544402912,0.006608730993942128,True
49,2017-08-01,0.00035179818798500377,0.0038486261632881,-0.005787383319472907,0.006490979695442914,True
50,2017-09-01,0.003459371200413351,0.0051063899209977,-0.002705476897547592,0.009624219298374294,True
51,2017-10-01,0.004979823281431718,0.0007750522450138,-0.0011550621188432392,0.011114708681706675,True
52,2017-11-01,0.0012372453294780756,0.0026680074282516,-0.004942665819714399,0.0074171564786705505,True
53,2017-12-01,0.0024111587672977835,0.0021068892447551,-0.0037163463832472444,0.00853866391784281,True
54,2018-01-01,0.0021490413277246113,0.0042533443635115,-0.003926150719944768,0.008224233375393991,True
