,date,infl_rate,forecast_cons_conf,forecast_gdp_pct_change,forecast_int_3m,forecast_ppi_diff,forecast_unm_rate,forecast_ar1,forecast_arp,forecast_ridge,forecast_pca,forecast_lstm,simple_avg,median_forecast,err_weighted
0,2014-08-01,-0.0001600013473797,0.0014841667897105,0.0014690347152706,0.0006482885977821,0.0003509641971485,0.0005352024685515,0.0011413688714943,0.0013477610399334,8.034901972650012e-05,0.0011910758598864,0.0027589128864928,0.0011066678919715409,0.00116622236569035,0.0011066678919715409
1,2014-09-01,7.159100480080838e-05,0.0013320687558019,0.0028431410478383,0.0009501993712114,0.0004740688858139,0.0009160067293058,-5.212203839991957e-05,0.0003118161949898,0.0009849774442782,0.0012515769949713,0.0016391128526203,0.0010562213314705257,0.0009675884077448,0.0009248322314618105
2,2014-10-01,-0.0001979139032411,0.0016685801185801,-0.0006861878215391,0.0010570726240139,0.0004067803714536,0.0009934705361868,2.4968962651902984e-05,0.0004905114187865,-0.0008844098800887,0.0016946391257623,0.0022319786048008,0.000703581367099523,0.00074199097748665,0.0006184407304870638
3,2014-11-01,-0.0018826601524659,0.0006119826895521,-0.0007121123399045,0.0006587133510103,0.0012752476424722,0.0006439436115256,-0.0002211652326004,7.326511753727867e-05,-9.20046083109e-05,0.0019939925644362,0.0005322284967588,0.00048510880778473894,0.00057210559315545,0.0002790217892512479
4,2014-12-01,-0.0030846094445592,-0.0008550350586562,-0.0027193196392611,-0.0013463951620179,-0.0020647331353358,-0.0012241861575096,-0.0017886786221884,-0.001581500552528,-0.0027838543202407,0.0001455318613084,-0.0019691230024659,-0.0016247621251139453,-0.0016850895873582,-0.0019084211411904443
5,2015-01-01,-0.0063703164417655,-0.0011942320404215,0.0011367851879173,-0.0017825182469238,-0.0025587071173215,-0.0014797909274154,-0.0030059122503043,-0.002256545712548,-0.0003594033708348,-0.0002076205823873,-0.0001009976445592,-0.0011950867444288137,-0.00133701148391845,-0.0008670308086818186
6,2015-02-01,0.0025346436802173,-0.002599080986891,-0.0027110010913311,-0.003689806916017,-0.0040434678853341,-0.0033131870553148,-0.0061215740736949,-0.004952407551391,-0.0030869143419842,-0.0033552310629466,-0.0033999776417655,-0.0036954775417296585,-0.00337760435235605,-0.004074590063519767
7,2015-03-01,0.0026939517808124,0.0037924211196685,0.002596800586008,0.0023527484188506,0.0017993273944689,0.0029709053656627,0.0015598447979551,0.0019723941489808,0.0040876165341517,0.0045668558040611,0.0040360831802173,0.002956259120532732,0.00278385297583535,0.0031144045275334487
8,2015-04-01,0.0010424788961589,0.002307870766643,0.003140122659472,0.0018911127803623,0.0021362738843257,0.001572986438196,0.0026685746561481,0.0005228249637833,0.0033383718480377,0.0041589624126064,0.0045694690808124,0.002617708381980223,0.00248822271139555,0.002367077416525751
9,2015-05-01,0.0032977453412468,0.0008323991625486,-0.0020025073787291,-0.0006648273985894,0.0013692991832245,-0.0006287279660934,0.0011921982976119,-0.0011410575287121,0.0015251164737184,0.001430008426744,0.0036303446961589,0.0005958676998147772,0.00101229873008025,2.4049090015792346e-05
10,2015-06-01,0.0027679208104607,0.0050600702495393,0.005426020810053,0.0035490931122274,0.0053764486999212,0.0035041229872407,0.0030914622953505,0.0033635041558272,0.0064686912607549,0.0055742452626115,0.0043250490412468,0.004584660683651414,0.00469255964539305,0.004699906456514263
11,2015-07-01,0.0015863197801873,0.0009298416336922,-0.0007277677502417,0.0010458805186194,0.0012750124478674,0.0004156143450534,0.0028449879866791,0.0025448904366012,0.0011293894267908,0.0034299351096029,0.0028873012904607,0.0015433896711322273,0.0012022009373290998,0.0017846172989907875
12,2015-08-01,-4.20108051790713e-06,0.0018768531806749,-0.001066141186206,0.0007197365811962,0.0018472385834269,0.0005712664441126,0.0016762740874847,0.0014385379332439,0.0017368012431881,0.0021812345748831,0.0012197077301873,0.0012508104711414546,0.0015574060103643,0.0014211114856689019
13,2015-09-01,-0.0022475875193775,0.0013137126047521,0.0012862381543814,0.0006542513209277,-0.0009926706242128,0.0004805323718687,0.0001119047473028,0.0007954940378523,0.0010777443177639,0.0022205087610872,-4.396858351790713e-05,0.0006935108897813993,0.00072487267939,0.0006445869491545499
14,2015-10-01,0.0009894820166906,-0.0019926243085111,-0.0032077237216411,-0.0022514498024956,-0.0021597123240698,-0.0026676106078413,-0.0021493286843374,-0.0010567282001115,-0.0018035860379473,-0.001159672996658,-0.0021756476793774,-0.0020707822606540094,-0.0021545205042036,-0.0021252183583528816
15,2015-11-01,0.0011946174910508,0.0006663316283238,0.0007726227032422,0.0008675540653046,0.001557713169063,0.0008887103666472,0.0008027130399271,0.0015332964426643,0.0022140379200037,0.0020645321092475,0.0018535107166906,0.0013120023241608861,0.0012110034046557499,0.001425770728082718
16,2015-12-01,-0.001075553426856,0.0010516074168382,-0.0002086533722233,0.0001862187307501,6.998878302936595e-05,-0.0001287616412197,0.0012224061404548,0.0005794274502072,0.000856498686257,0.0030489420131189,0.0022393811910508,0.000875910769681406,0.0007179630682320999,0.0007649364637768239
17,2016-01-01,-0.0004584435630738,-0.0006664140875228,-0.0003170625309622,-0.000476046317346,0.0003858462381018,0.0002070161268552,-0.0008640781189177,-0.0014056394388058,0.0002356976686352,0.001739279740476,0.001611412773144,3.590807741856363e-05,-5.5023202053499994e-05,-0.0001462490713392597
