,date,actual,ridge,pca,lstm
0,2014-08-01,-0.00016000134737969999,8.034901972650012e-05,0.0011910758598864817,0.0027589128864928
1,2014-09-01,7.159100480079998e-05,0.0009849774442782001,0.0012515769949713,0.0016391128526203
2,2014-10-01,-0.00019791390324109165,-0.0008844098800887916,0.0016946391257623083,0.0022319786048008083
3,2014-11-01,-0.0018826601524658,-9.200460831089999e-05,0.0019939925644362998,0.0005322284967588999
4,2014-12-01,-0.0030846094445591997,-0.0027838543202407,0.0001455318613084002,-0.0019691230024659
5,2015-01-01,-0.0063703164417655,-0.00035940337083480026,-0.00020762058238739996,-0.00010099764455920009
6,2015-02-01,0.0025346436802173005,-0.0030869143419842,-0.0033552310629466,-0.0033999776417655
7,2015-03-01,0.0026939517808123002,0.0040876165341517,0.0045668558040611994,0.0040360831802173005
8,2015-04-01,0.0010424788961589,0.0033383718480377,0.0041589624126064,0.0045694690808124
9,2015-05-01,0.0032977453412468,0.0015251164737184,0.001430008426744,0.0036303446961589
10,2015-06-01,0.0027679208104607997,0.0064686912607549,0.0055742452626115,0.0043250490412468
11,2015-07-01,0.0015863197801873,0.0011293894267908,0.0034299351096029997,0.0028873012904607
12,2015-08-01,-4.201080517899974e-06,0.0017368012431881001,0.0021812345748831,0.0012197077301873
13,2015-09-01,-0.002247587519377407,0.001077744317763993,0.002220508761087293,-4.396858351790713e-05
14,2015-10-01,0.0009894820166906002,-0.0018035860379473998,-0.0011596729966580998,-0.0021756476793774997
15,2015-11-01,0.0011946174910507999,0.0022140379200037003,0.0020645321092475997,0.0018535107166906
16,2015-12-01,-0.0010755534268559997,0.000856498686257,0.0030489420131189,0.0022393811910508
17,2016-01-01,-0.0004584435630738999,0.00023569766863520015,0.001739279740476,0.001611412773144
18,2016-02-01,-0.0013296753235823,0.0006539245358980999,-0.0004065979428163535,0.0031935039369262
19,2016-03-01,0.0031347962382444,-0.0013292358880252241,-0.0007986916022999001,0.00010841567641770001
20,2016-04-01,0.0038306451612901,0.001926819772256,0.0040613663693739996,0.0043913076382444
21,2016-05-01,0.0023640958693179,0.0028891558428232,0.0038274761969292717,0.0037217557412901
22,2016-06-01,0.0027759572878271,0.0014037354076703,0.0013172817360258002,0.0019746376093178
23,2016-07-01,-0.0005037007434789001,0.002806962118345289,0.0026851246863730687,0.0017046754878272
24,2016-08-01,0.0018492217858315997,-0.0003694293950651,-0.000533017339820028,0.0026603262565210997
25,2016-09-01,0.0026232097944251997,0.001629369440525,0.0019350102321347722,0.0056294997858316
26,2016-10-01,0.0023426874979268,0.0008087380966169001,0.0026999261542879215,0.0039892923944252
27,2016-11-01,0.0011789477167711,0.0019670527784266,0.0014303326852483,0.0034296141979268
28,2016-12-01,0.0025245221587759997,0.0007168041250621,0.0019197502842321999,6.882316771099958e-06
29,2017-01-01,0.0040430766948155,0.0009134675050927999,0.00255419134246188,0.0029795470987761
30,2017-02-01,0.0015926573570097997,0.0030919473488934994,0.0043479943059033,0.0032049864948156
31,2017-03-01,-0.0004672016261895,3.5898133901000016e-05,0.0007439274004050999,0.0005192292570096999
32,2017-04-01,0.0012341528217407,0.000249981003157,-0.000471161564651533,-0.0004584968891895
33,2017-05-01,-0.0007739779600562,0.0004604903242569001,0.0024068423174604,-0.00011870477825929996
34,2017-06-01,0.0006516286618251999,-0.0008843187098082,-0.0012407254393385,-0.0019118876600562
35,2017-07-01,0.00032764997153540004,0.000723011310755463,0.0007121260354401897,-0.0007319175381748001
36,2017-08-01,0.0038486261632881,0.001115831754292,0.0008816387432306,0.0004594253615354
37,2017-09-01,0.0051063899209977,0.0032176641977180002,0.0034358533539412,0.0052840377632880995
38,2017-10-01,0.0007750522450138001,0.0021448627715279,0.004757680960529,0.0026942623209977004
39,2017-11-01,0.0026680074282516,0.0015520651800522,0.0004364015900784,-0.0008734790549862001
40,2017-12-01,0.0021068892447552,0.0032743591904553,0.0025219286789712,0.0024196610682516
41,2018-01-01,0.004253344363511401,0.0010692078225685,0.0018841650748626002,0.0037217082447551
42,2018-02-01,0.0026922876006090996,0.0031623521452664,0.0030744168827507995,0.0008512777635114998
43,2018-03-01,0.00019236241078209992,0.0023827143853681998,0.0029261200580879,0.003140370380609
44,2018-04-01,0.0026044066560619,0.0009627392756239,-0.0009201347009234,-0.0031118317892179998
45,2018-05-01,0.0022579497815982,0.0026219648215680498,0.002989646926426,0.0032778775560619003
46,2018-06-01,0.0009011451720948001,0.0014888148305515002,0.0005142170941057002,0.0018773820415982003
47,2018-07-01,0.0007808204989284,0.0015684492301511,-0.0014636032675414998,-0.0005829766279052
48,2018-08-01,0.0017873207703393,-0.0004421508906368,-0.0006132110530722,0.0008362561949283
49,2018-09-01,0.0020622817021173,0.0013486746958578,0.0005827595711369999,0.0030527779703393
50,2018-10-01,0.0023395801444987,-2.6047431662900265e-05,0.0017134075741398998,0.0038856530021173998
51,2018-11-01,-0.0007041919199911001,0.0008304808354856999,0.0010600453602476999,0.0037744069444987
52,2018-12-01,0.0006848935445813001,0.0018593342022137998,0.0015574797417743998,0.0028014700800089
53,2019-01-01,-0.0008149798035343,0.0021540993427542,0.0019985688149917,0.0002512634045813
54,2019-02-01,0.0030012551423217997,0.00046924169260109997,0.00045619537388590006,-0.0016208664435342999
55,2019-03-01,0.0037817929172306998,0.003062506644205779,0.0031522636513412,0.0029207512123218997
56,2019-04-01,0.0037596794047436,0.0032610267840562004,0.0031410352355988004,0.0059002754172307
57,2019-05-01,0.0002468332856645,0.0035090846663331,0.0039477193831788,0.0028372472347435998
